state,district,school,ap,type,total,American Indian/Alaska Native,Asian,Black,Hispanic,Native Hawaiian/Pacific Islander,Two or More Races,White
ALABAMA,Birmingham City,Jackson-Olin High Sch,Yes,total,936,4,0,919,2,0,4,7
ALABAMA,Birmingham City,Parker High Sch,Yes,ap,100,0,0,100,0,0,0,0
ALABAMA,Birmingham City,Parker High Sch,Yes,total,754,4,0,736,10,0,0,4
ALABAMA,Birmingham City,Ramsay High Sch,Yes,ap,153,0,0,151,0,0,0,2
ALABAMA,Birmingham City,Ramsay High Sch,Yes,total,811,4,2,790,5,0,0,10
ALABAMA,Birmingham City,Wenonah High Sch,Yes,ap,70,0,0,70,0,0,0,0
ALABAMA,Birmingham City,Wenonah High Sch,Yes,total,790,4,0,769,10,0,0,7
ALABAMA,Birmingham City,Woodlawn High Sch-Magnet,Yes,ap,65,0,0,61,2,0,0,2
ALABAMA,Birmingham City,Woodlawn High Sch-Magnet,Yes,total,798,10,2,751,22,0,0,13
ALABAMA,Blount County,Appalachian  Sch,No,total,586,2,0,4,130,4,4,442
ALABAMA,Blount County,Cleveland High Sch,No,total,410,2,0,2,73,0,2,331
ALABAMA,Blount County,Hayden High Sch,No,total,889,7,2,16,10,0,16,838
ALABAMA,Blount County,JB Pennington High Sch,No,total,592,4,0,7,85,0,0,496
ALABAMA,Blount County,Locust Fork High Sch,No,total,510,0,0,4,25,0,0,481
ALABAMA,Blount County,Southeastern Elem Sch,No,total,727,4,0,16,154,0,0,553
ALABAMA,Blount County,Susan Moore High Sch,No,total,590,4,2,5,175,0,4,400
ALABAMA,Boaz City,Boaz High Sch,Yes,ap,26,2,2,0,0,0,0,22
ALABAMA,Boaz City,Boaz High Sch,Yes,total,614,127,7,7,0,0,22,451
ALABAMA,Brewton City,TR Miller High Sch,Yes,ap,45,0,2,4,2,0,0,37
ALABAMA,Brewton City,TR Miller High Sch,Yes,total,360,2,4,124,10,0,0,220
ALABAMA,Bullock County,Bullock Co Area Voc Ctr,No,total,400,0,0,391,5,0,0,4
ALABAMA,Bullock County,Bullock Co High Sch,No,total,438,0,0,388,46,0,0,4
ALABAMA,Butler County,Georgiana School,Yes,ap,46,0,0,25,0,0,2,19
ALABAMA,Butler County,Georgiana School,Yes,total,429,0,0,304,2,0,8,115
ALABAMA,Butler County,Greenville High Sch,Yes,ap,60,0,4,34,0,0,0,22
ALABAMA,Butler County,Greenville High Sch,Yes,total,649,2,4,460,7,0,4,172
ALABAMA,Butler County,McKenzie High Sch,No,total,429,0,0,85,2,0,5,337
ALABAMA,Calhoun County,Alexandria High Sch,Yes,ap,32,0,0,2,0,2,0,28
ALABAMA,Calhoun County,Alexandria High Sch,Yes,total,1074,4,7,145,40,4,0,874
ALABAMA,Calhoun County,Ohatchee High Sch,Yes,ap,95,0,2,5,0,0,0,88
ALABAMA,Calhoun County,Ohatchee High Sch,Yes,total,480,2,2,22,0,0,0,454
ALABAMA,Calhoun County,Pleasant Valley High Sch,Yes,ap,9,0,0,0,2,0,0,7
ALABAMA,Calhoun County,Pleasant Valley High Sch,Yes,total,496,2,0,13,4,2,0,475
ALABAMA,Calhoun County,Saks High Sch,Yes,ap,50,0,2,13,4,0,0,31
ALABAMA,Calhoun County,Saks High Sch,Yes,total,389,0,7,157,22,0,4,199
