Location,White,Black,Hispanic,American Indian/Alaska Native,Asian,Native Hawaiian/Other Pacific Islander,Two Or More Races,Cases_Total,Cases_White,Cases_Black,Cases_LatinX,Cases_Asian,Cases_AIAN,Cases_NHPI,Cases_Multiracial,Cases_Other,Cases_Unknown,Cases_Ethnicity_Hispanic,Cases_Ethnicity_NonHispanic,Cases_Ethnicity_Unknown,Deaths_Total,Deaths_White,Deaths_Black,Deaths_LatinX,Deaths_Asian,Deaths_AIAN,Deaths_NHPI,Deaths_Multiracial,Deaths_Other,Deaths_Unknown,Deaths_Ethnicity_Hispanic,Deaths_Ethnicity_NonHispanic,Deaths_Ethnicity_Unknown,Cases_White_proportion,Cases_Black_proportion,Cases_LatinX_proportion,Cases_Asian_proportion,Cases_AIAN_proportion,Cases_NHPI_proportion,Cases_Multiracial_proportion,Cases_Other_proportion,Cases_Unknown_proportion,Cases_Ethnicity_Hispanic_proportion,Cases_Ethnicity_NonHispanic_proportion,Cases_Ethnicity_Unknown_proportion,Deaths_White_proportion,Deaths_Black_proportion,Deaths_LatinX_proportion,Deaths_Asian_proportion,Deaths_AIAN_proportion,Deaths_NHPI_proportion,Deaths_Multiracial_proportion,Deaths_Other_proportion,Deaths_Unknown_proportion,Deaths_Ethnicity_Hispanic_proportion,Deaths_Ethnicity_NonHispanic_proportion,Deaths_Ethnicity_Unknown_proportion
Georgia,0.52,0.31,0.1,0,0.04,0,0.02,152302.0,35048.0,39008.0,20562.0,1837.0,89.0,153.0,,4191.0,51414.0,20562.0,67284.0,64456.0,3335.0,1503.0,1516.0,196.0,53.0,5.0,7.0,,15.0,40.0,196.0,3074.0,65.0,0.23012173182230042,0.2561227035757902,0.1350080760594083,0.012061561896757757,0.0005843652742577248,0.0010045829995666505,,0.02751769510577668,0.3375792832661423,0.1350080760594083,0.4417801473388399,0.4232117766017518,0.4506746626686657,0.4545727136431784,0.058770614692653676,0.015892053973013492,0.0014992503748125937,0.002098950524737631,,0.004497751124437781,0.01199400299850075,0.058770614692653676,0.9217391304347826,0.019490254872563718
Hawaii,0.21,0.02,0.1,,0.38,0.10,0.20,1435.0,221.0,10.0,,382.0,,405.0,,32.0,385.0,,,,25.0,,,,,,,,,25.0,,,,0.154006968641115,0.006968641114982578,,0.2662020905923345,,0.28222996515679444,,0.02229965156794425,0.2682926829268293,,,,,,,,,,,,1.0,,,
Idaho,0.82,0.01,0.13,0.01,0.02,,0.02,16322.0,7861.0,207.0,,140.0,119.0,46.0,563.0,1921.0,5465.0,2939.0,5674.0,7708.0,135.0,124.0,2.0,,2.0,2.0,,,1.0,0.0,14.0,117.0,4.0,0.48161989952211737,0.012682269329739003,,0.008577380223011886,0.007290773189560103,0.002818282073275334,0.03449332189682637,0.11769391006004166,0.3348241637054283,0.18006371768165666,0.34762896703835316,0.4722460482783973,0.9185185185185185,0.014814814814814815,,0.014814814814814815,0.014814814814814815,,,0.007407407407407408,0.0,0.1037037037037037,0.8666666666666667,0.02962962962962963
Illinois,0.61,0.14,0.17,0,0.06,0,0.02,166476.0,37393.0,27704.0,50999.0,4497.0,230.0,395.0,,6190.0,39068.0,50999.0,76409.0,39068.0,7540.0,3268.0,2024.0,1531.0,349.0,10.0,9.0,,51.0,298.0,1531.0,5711.0,105.0,0.22461495951368365,0.16641437804848747,0.30634445806002064,0.02701290276075831,0.001381580528124174,0.002372714385256734,,0.03718253682212451,0.23467646988154447,0.30634445806002064,0.45897907205843486,0.23467646988154447,0.43342175066313,0.26843501326259944,0.2030503978779841,0.04628647214854111,0.001326259946949602,0.0011936339522546418,,0.006763925729442971,0.039522546419098144,0.2030503978779841,0.7574270557029178,0.013925729442970823
Indiana,0.79,0.09,0.07,0,0.02,,0.02,58673.0,26963.0,6696.0,,774.0,,,,9848.0,14392.0,6472.0,19909.0,32292.0,2863.0,1720.0,377.0,,14.0,,,,359.0,393.0,53.0,1395.0,1218.0,0.4595469807236719,0.11412404342713002,,0.013191757707974707,,,,0.1678455166771769,0.2452917014640465,0.11030627375453786,0.3393213232662383,0.5503724029792239,0.6007684247293049,0.13168005588543485,,0.004889975550122249,,,,0.1253929444638491,0.13726859937128885,0.01851205029689137,0.4872511351728956,0.4254278728606357
Iowa,0.86,0.03,0.06,0,0.03,,0.02,40081.0,26456.0,3206.0,,2004.0,400.0,400.0,,400.0,7215.0,8417.0,25654.0,6413.0,812.0,649.0,40.0,,24.0,8.0,8.0,,0.0,81.0,56.0,657.0,97.0,0.6600633716723635,0.07998802425089194,,0.04999875252613458,0.009979790923380156,0.009979790923380156,,0.009979790923380156,0.18001047878046955,0.20999975050522693,0.6400538908709863,0.16000099797909234,0.7992610837438424,0.04926108374384237,,0.029556650246305417,0.009852216748768473,0.009852216748768473,,0.0,0.09975369458128079,0.06896551724137931,0.8091133004926109,0.11945812807881774
Kansas,0.76,0.05,0.12,0.01,0.03,,0.03,24104.0,15587.0,1780.0,,888.0,166.0,,,1282.0,4401.0,8094.0,10582.0,5428.0,308.0,216.0,64.0,,9.0,2.0,,,9.0,8.0,40.0,255.0,13.0,0.6466561566544972,0.07384666445403253,,0.036840358446730836,0.0068868237636906735,,,0.053186193162960506,0.18258380351808828,0.3357948888151344,0.4390142714902091,0.22519083969465647,0.7012987012987013,0.2077922077922078,,0.02922077922077922,0.006493506493506494,,,0.02922077922077922,0.025974025974025976,0.12987012987012986,0.827922077922078,0.04220779220779221
Kentucky,0.85,0.08,0.04,0,0.01,,0.02,24540.0,12843.0,2044.0,,480.0,77.0,37.0,965.0,,8094.0,2454.0,13587.0,8499.0,677.0,515.0,92.0,,8.0,0.0,,16.0,,46.0,25.0,577.0,75.0,0.5233496332518337,0.08329258353708231,,0.019559902200488997,0.003137734311328443,0.0015077424612876937,0.03932355338223309,,0.3298288508557457,0.1,0.5536674816625917,0.3463325183374083,0.7607090103397341,0.1358936484490399,,0.011816838995568686,0.0,,0.023633677991137372,,0.06794682422451995,0.03692762186115214,0.8522895125553914,0.11078286558345643
Louisiana,0.59,0.32,0.05,0.01,0.02,,0.02,99354.0,31163.0,36693.0,,4463.0,217.0,115.0,,8234.0,18469.0,,,99354.0,3670.0,1679.0,1803.0,,23.0,4.0,5.0,,18.0,138.0,73.0,3303.0,294.0,0.31365621917587616,0.3693157799384021,,0.04492018439116694,0.0021841093463775994,0.0011574773033798337,,0.08287537492199609,0.1858908549228013,,,1.0,0.45749318801089917,0.49128065395095366,,0.006267029972752043,0.0010899182561307902,0.0013623978201634877,,0.004904632152588556,0.03760217983651226,0.01989100817438692,0.9,0.08010899182561308
Maine,0.93,0.01,0.02,0,0.01,,0.02,3723.0,2253.0,848.0,,95.0,7.0,2.0,25.0,115.0,378.0,146.0,2956.0,621.0,118.0,106.0,3.0,,,,,,0.0,9.0,0.0,98.0,20.0,0.6051571313456889,0.22777330110126243,,0.025517056137523503,0.0018802041364491002,0.0005372011818426001,0.006715014773032501,0.030889067955949503,0.10153102336825141,0.0392156862745098,0.7939833467633629,0.16680096696212732,0.8983050847457628,0.025423728813559324,,,,,,0.0,0.07627118644067797,0.0,0.8305084745762712,0.1694915254237288
Maryland,0.5,0.29,0.1,0,0.06,,0.03,80172.0,16887.0,23503.0,20505.0,1532.0,,,,3773.0,13972.0,20505.0,45695.0,13972.0,3405.0,1454.0,1384.0,388.0,131.0,,,,36.0,12.0,388.0,3005.0,12.0,0.21063463553360276,0.29315721199421246,0.2557626103876665,0.019108915830963427,,,,0.04706131816594322,0.17427530808761163,0.2557626103876665,0.5699620815247218,0.17427530808761163,0.42701908957415563,0.4064610866372981,0.11395007342143906,0.03847283406754772,,,,0.010572687224669603,0.003524229074889868,0.11395007342143906,0.882525697503671,0.003524229074889868
Massachusetts,0.71,0.07,0.12,0,0.07,,0.03,114320.0,35350.0,10731.0,22344.0,2409.0,,,,6106.0,37380.0,22344.0,54596.0,37380.0,8468.0,6366.0,693.0,586.0,218.0,,,,545.0,60.0,586.0,7822.0,60.0,0.30921973407977604,0.09386808957312806,0.19545136459062282,0.021072428271518544,,,,0.05341147655703289,0.32697690692792164,0.19545136459062282,0.47757172848145557,0.32697690692792164,0.7517713745866793,0.08183750590458196,0.06920170051960321,0.02574397732640529,,,,0.06435994331601323,0.007085498346717053,0.06920170051960321,0.9237128011336797,0.007085498346717053
Michigan,0.75,0.14,0.05,0,0.03,,0.03,83730.0,34385.0,22633.0,,1691.0,323.0,,5558.0,5003.0,14137.0,6698.0,54424.0,22607.0,6388.0,3318.0,2525.0,,80.0,19.0,,103.0,122.0,221.0,127.0,5302.0,958.0,0.4106652334885943,0.27030932760062104,,0.02019586766989132,0.003857637644810701,,0.06638003105219156,0.05975158246745491,0.16884032007643615,0.07999522273975875,0.6499940284246984,0.26999880568493967,0.5194113963681903,0.39527238572323103,,0.012523481527864746,0.002974326862867877,,0.01612398246712586,0.019098309329993738,0.03459611772072636,0.019881026925485285,0.8299937382592361,0.14996869129618035
Minnesota,0.8,0.06,0.05,0.01,0.05,,0.03,47961.0,21457.0,9842.0,,3153.0,405.0,107.0,807.0,5874.0,6316.0,7554.0,9652.0,30755.0,1592.0,1239.0,152.0,,67.0,31.0,3.0,22.0,20.0,58.0,67.0,1460.0,65.0,0.4473843331039803,0.20520839849044015,,0.06574091449302559,0.00844436104334772,0.0022309793373782865,0.016826171264152125,0.1224745105398136,0.1316903317278622,0.1575029711640708,0.2012468463960301,0.6412501824398991,0.7782663316582915,0.09547738693467336,,0.042085427135678394,0.019472361809045227,0.0018844221105527637,0.013819095477386936,0.01256281407035176,0.0364321608040201,0.042085427135678394,0.9170854271356784,0.04082914572864322
Mississippi,0.57,0.38,0.03,0,0.01,,0.01,47071.0,13476.0,20721.0,1795.0,149.0,1165.0,,,3670.0,6095.0,1795.0,29552.0,15724.0,1423.0,582.0,715.0,24.0,0.0,76.0,,,16.0,10.0,24.0,1272.0,127.0,0.2862909222238746,0.44020734634913217,0.03813388285781054,0.0031654309447430476,0.02474984597735336,,,0.07796732595440929,0.12948524569267703,0.03813388285781054,0.6278175522083661,0.3340485649338234,0.4089950808151792,0.5024595924104006,0.016865776528460996,0.0,0.05340829234012649,,,0.011243851018973999,0.007027406886858749,0.016865776528460996,0.8938861560084329,0.08924806746310611
Missouri,0.8,0.11,0.04,0,0.02,0,0.03,36063.0,16950.0,8294.0,,,,,1082.0,2164.0,7573.0,3757.0,22294.0,10013.0,1159.0,680.0,391.0,,,,,10.0,32.0,44.0,32.0,987.0,139.0,0.47001081440811915,0.22998641266672212,,,,,0.030003050217674625,0.06000610043534925,0.2099936222721349,0.1041787982142362,0.6181959348917173,0.27765299614563405,0.5867126833477135,0.3373597929249353,,,,,0.008628127696289905,0.027610008628127698,0.03796376186367558,0.027610008628127698,0.8515962036238136,0.11993097497842968
Montana,0.86,0,0.04,0.06,0.01,,0.03,2813.0,1672.0,15.0,,8.0,318.0,,,32.0,769.0,137.0,1875.0,801.0,42.0,17.0,,,,10.0,,,,15.0,,,,0.5943832207607537,0.005332385353714895,,0.0028439388553146107,0.11304656949875577,,,0.011375755421258443,0.27337362246711694,0.04870245289726271,0.6665481692143619,0.2847493778883754,0.40476190476190477,,,,0.23809523809523808,,,,0.35714285714285715,,,
Nebraska,0.79,0.04,0.11,0.01,0.02,,0.03,23486.0,13600.0,1400.0,,1300.0,256.0,33.0,,1600.0,5297.0,9400.0,8300.0,5786.0,311.0,237.0,23.0,,18.0,7.0,0.0,,12.0,14.0,74.0,202.0,35.0,0.5790683811632462,0.059609980413863575,,0.05535212467001618,0.01090011070424934,0.0014050923954696416,,0.06812569190155837,0.2255386187515967,0.4002384399216555,0.3534020267393341,0.24635953333901048,0.7620578778135049,0.07395498392282958,,0.05787781350482315,0.022508038585209004,0.0,,0.03858520900321544,0.04501607717041801,0.2379421221864952,0.6495176848874598,0.11254019292604502
Nevada,0.49,0.09,0.29,0.01,0.08,0.01,0.04,38657.0,7023.0,1949.0,7920.0,1735.0,107.0,,,3868.0,16055.0,7920.0,14682.0,16055.0,704.0,288.0,70.0,102.0,82.0,4.0,,,11.0,147.0,102.0,455.0,147.0,0.18167472902708437,0.05041777685800761,0.20487880590837365,0.044881910132705594,0.0027679333626510075,,,0.10005949763302895,0.4153193470781488,0.20487880590837365,0.3798018470134775,0.4153193470781488,0.4090909090909091,0.09943181818181818,0.14488636363636365,0.11647727272727272,0.005681818181818182,,,0.015625,0.20880681818181818,0.14488636363636365,0.6463068181818182,0.20880681818181818
New Hampshire,0.9,0.01,0.04,,0.03,,0.02,6295.0,4012.0,325.0,657.0,164.0,,,,246.0,891.0,657.0,4747.0,891.0,402.0,375.0,9.0,11.0,4.0,,,,1.0,2.0,11.0,389.0,2.0,0.6373312152501985,0.051628276409849086,0.10436854646544877,0.026052422557585386,,,,0.03907863383637808,0.1415409054805401,0.10436854646544877,0.7540905480540111,0.1415409054805401,0.9328358208955224,0.022388059701492536,0.02736318407960199,0.009950248756218905,,,,0.0024875621890547263,0.004975124378109453,0.02736318407960199,0.9676616915422885,0.004975124378109453
New Jersey,0.55,0.13,0.21,0,0.1,,0.02,177645.0,38813.0,18328.0,32730.0,5437.0,,,,12164.0,70173.0,32730.0,74742.0,70173.0,15707.0,7326.0,2476.0,2730.0,745.0,,,,243.0,2187.0,2730.0,10790.0,2187.0,0.21848630696051113,0.10317205662979538,0.18424385713079455,0.030605983844183626,,,,0.0684736412508092,0.3950181541839061,0.18424385713079455,0.4207379886852993,0.3950181541839061,0.4664162475329471,0.15763672248042274,0.17380785636977145,0.0474310816833259,,,,0.015470809193353282,0.13923728274017955,0.17380785636977145,0.686954860890049,0.13923728274017955
New Mexico,0.37,0.02,0.49,0.09,0.02,,0.02,17828.0,2347.0,324.0,6722.0,123.0,7159.0,,,,1153.0,6722.0,9953.0,1153.0,591.0,98.0,4.0,59.0,1.0,236.0,,,,193.0,59.0,339.0,193.0,0.13164684765537357,0.018173659412160648,0.37704734126093786,0.006899259591653579,0.4015593448507965,,,,0.06467354722907785,0.37704734126093786,0.5582791115099843,0.06467354722907785,0.1658206429780034,0.00676818950930626,0.09983079526226735,0.001692047377326565,0.3993231810490694,,,,0.32656514382402707,0.09983079526226735,0.5736040609137056,0.32656514382402707
New York,0.55,0.14,0.19,0,0.09,,0.03,408886.0,,,,,,,,,408886.0,,,,28132.0,8597.0,6329.0,6665.0,1683.0,,,,1842.0,3016.0,6665.0,18451.0,3016.0,,,,,,,,,1.0,,,,0.30559505189819425,0.22497511730413763,0.23691881131807194,0.059825110194795965,,,,0.06547703682638988,0.10720887245841035,0.23691881131807194,0.6558723162235177,0.10720887245841035
North Carolina,0.63,0.21,0.1,0.01,0.03,0,0.03,105001.0,40399.0,17314.0,,1301.0,911.0,210.0,,12039.0,32827.0,29052.0,39004.0,36945.0,1698.0,945.0,536.0,,25.0,25.0,4.0,,106.0,57.0,166.0,1410.0,122.0,0.38474871667888877,0.16489366767935543,,0.012390358187064885,0.008676107846591938,0.0019999809525623564,,0.11465605089475338,0.31263511776078323,0.27668307920876944,0.3714631289225817,0.35185379186864885,0.5565371024734982,0.31566548881036516,,0.014723203769140165,0.014723203769140165,0.002355712603062426,,0.0624263839811543,0.03356890459363958,0.0977620730270907,0.8303886925795053,0.071849234393404
North Dakota,0.84,0.03,0.04,0.05,0.02,,0.02,5367.0,,,,,,,,,5367.0,,,,88.0,,,,,,,,,88.0,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,
Ohio,0.79,0.12,0.04,0,0.02,,0.03,78742.0,37618.0,20518.0,,2149.0,95.0,147.0,2359.0,5420.0,10436.0,5283.0,54505.0,18954.0,3235.0,2454.0,627.0,,36.0,1.0,1.0,39.0,24.0,53.0,71.0,3077.0,87.0,0.4777374209443499,0.26057250260343906,,0.027291661375123823,0.0012064717685606157,0.0018668563155622158,0.02995859896878413,0.06883238932208986,0.13253409870209037,0.06709253003479719,0.6921973025831195,0.24071016738208326,0.7585780525502318,0.1938176197836167,,0.011128284389489953,0.0003091190108191654,0.0003091190108191654,0.01205564142194745,0.0074188562596599695,0.016383307573415766,0.02194744976816074,0.9511591962905719,0.02689335394126739
Oklahoma,0.65,0.07,0.11,0.08,0.02,0,0.07,27301.0,15339.0,2001.0,,1556.0,2099.0,,,1091.0,5215.0,5788.0,16025.0,5488.0,474.0,355.0,30.0,,11.0,42.0,,,11.0,25.0,21.0,407.0,46.0,0.5618475513717446,0.07329401853411963,,0.056994249294897624,0.07688363063624043,,,0.039961906157283615,0.19101864400571408,0.2120068861946449,0.5869748360865902,0.20101827771876488,0.7489451476793249,0.06329113924050633,,0.023206751054852322,0.08860759493670886,,,0.023206751054852322,0.052742616033755275,0.04430379746835443,0.8586497890295358,0.0970464135021097
Oregon,0.75,0.02,0.13,0.01,0.05,0,0.04,15393.0,6378.0,589.0,,491.0,350.0,377.0,342.0,5032.0,1834.0,5852.0,7601.0,1940.0,271.0,197.0,6.0,,12.0,3.0,6.0,2.0,23.0,22.0,34.0,210.0,27.0,0.4143441824205808,0.038264146040407974,,0.03189761579938933,0.022737608003638016,0.02449165204963295,0.022217891249269147,0.32690183849801857,0.11914506593906321,0.38017280582082763,0.4937958812447216,0.12603131293445072,0.7269372693726938,0.02214022140221402,,0.04428044280442804,0.01107011070110701,0.02214022140221402,0.007380073800738007,0.08487084870848709,0.08118081180811808,0.12546125461254612,0.7749077490774908,0.0996309963099631
Pennsylvania,0.76,0.10,0.08,0,0.04,,0.02,103396.0,32200.0,14000.0,,1500.0,,,,973.0,54723.0,8200.0,23300.0,71900.0,7063.0,5018.0,1484.0,,151.0,,,,339.0,71.0,418.0,6574.0,71.0,0.3114240396146853,0.135401756354211,,0.014507331037951179,,,,0.009410422066617664,0.5292564509265348,0.07930674300746644,0.22534720878950829,0.6953847344191265,0.7104629760724904,0.21010901883052527,,0.021379017414696305,,,,0.04799660201047713,0.010052385671810845,0.05918165085657653,0.9307659634716127,0.010052385671810845
Rhode Island,0.72,0.06,0.16,,0.03,,0.03,18062.0,4939.0,1671.0,6171.0,,,,,493.0,4788.0,6171.0,7103.0,4788.0,997.0,662.0,51.0,85.0,,,,,13.0,186.0,85.0,726.0,186.0,0.27344701583434833,0.09251467168641346,0.34165651644336176,,,,,0.027294873214483446,0.26508692282139296,0.34165651644336176,0.3932565607352453,0.26508692282139296,0.6639919759277834,0.05115346038114343,0.08525576730190572,,,,,0.013039117352056168,0.18655967903711135,0.08525576730190572,0.728184553660983,0.18655967903711135
South Carolina,0.64,0.26,0.06,0,0.02,,0.02,75042.0,24682.0,18100.0,,548.0,,,,4936.0,26774.0,6680.0,32794.0,35567.0,1285.0,566.0,485.0,,11.0,,,,34.0,185.0,44.0,928.0,311.0,0.3289091442125743,0.24119826230644173,,0.0073025772234215506,,,,0.06577649849417659,0.3567868660216945,0.08901681724900722,0.4370086085125663,0.4739612483675808,0.4404669260700389,0.377431906614786,,0.008560311284046693,,,,0.026459143968871595,0.14396887159533073,0.034241245136186774,0.7221789883268482,0.24202334630350195
